d1,d2,d3,d4,d5,play
1,1,1,1,1,jatzee
1,1,1,1,2,poker
1,1,1,1,3,poker
1,1,1,1,4,poker
1,1,1,1,5,poker
1,1,1,1,6,poker
1,1,1,2,1,poker
1,1,1,2,2,full
1,1,1,2,3,none
1,1,1,2,4,none
1,1,1,2,5,none
1,1,1,2,6,none
1,1,1,3,1,poker
1,1,1,3,2,none
1,1,1,3,3,full
1,1,1,3,4,none
1,1,1,3,5,none
1,1,1,3,6,none
1,1,1,4,1,poker
1,1,1,4,2,none
1,1,1,4,3,none
1,1,1,4,4,full
1,1,1,4,5,none
1,1,1,4,6,none
1,1,1,5,1,poker
1,1,1,5,2,none
1,1,1,5,3,none
1,1,1,5,4,none
1,1,1,5,5,full
1,1,1,5,6,none
1,1,1,6,1,poker
1,1,1,6,2,none
1,1,1,6,3,none
1,1,1,6,4,none
1,1,1,6,5,none
1,1,1,6,6,full
1,1,2,1,1,poker
1,1,2,1,2,full
1,1,2,1,3,none
1,1,2,1,4,none
1,1,2,1,5,none
1,1,2,1,6,none
1,1,2,2,1,full
1,1,2,2,2,full
1,1,2,2,3,none
1,1,2,2,4,none
1,1,2,2,5,none
1,1,2,2,6,none
1,1,2,3,1,none
1,1,2,3,2,none
1,1,2,3,3,none
1,1,2,3,4,none
1,1,2,3,5,none
1,1,2,3,6,none
1,1,2,4,1,none
1,1,2,4,2,none
1,1,2,4,3,none
1,1,2,4,4,none
1,1,2,4,5,none
1,1,2,4,6,none
1,1,2,5,1,none
1,1,2,5,2,none
1,1,2,5,3,none
1,1,2,5,4,none
1,1,2,5,5,none
1,1,2,5,6,none
1,1,2,6,1,none
1,1,2,6,2,none
1,1,2,6,3,none
1,1,2,6,4,none
1,1,2,6,5,none
1,1,2,6,6,none
1,1,3,1,1,poker
1,1,3,1,2,none
1,1,3,1,3,full
1,1,3,1,4,none
1,1,3,1,5,none
1,1,3,1,6,none
1,1,3,2,1,none
1,1,3,2,2,none
1,1,3,2,3,none
